,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth,Label
3293,113.219124,1863.6055,123.0,114.0,-0.6465954,2.3901951,0.007937477,4.9838934,15.0,199.0,0.09795639,45.0,83.0,147.0,161.0,116.0,0
1782,66.7913,2088.783,55.0,23.0,0.7712331,3.5719516,0.025486324,4.4028306,9.0,255.0,0.1110354,20.0,23.0,105.0,121.0,101.0,0
113,111.911,146.56554,111.0,114.0,0.6024912,3.8623064,0.028658113,3.8168054,78.0,174.0,0.094143145,97.0,103.0,118.0,127.0,30.0,1
5300,51.379906,1815.7125,36.0,10.0,0.71290404,2.2953963,0.038234778,4.3700037,4.0,190.0,0.11677717,10.0,13.0,86.0,116.0,106.0,0
3098,75.95747,2594.4204,62.0,23.0,0.4765828,1.7945924,0.011330998,4.8793836,6.0,195.0,0.10366337,21.0,27.0,123.0,153.0,132.0,0
4678,55.32541,693.09607,62.0,9.0,-0.45166108,2.380196,0.019101344,4.292419,3.0,161.0,0.14232174,9.0,34.0,74.0,85.0,76.0,0
3074,182.73705,213.79787,183.0,183.0,-1.1360514,5.1230836,0.02409403,3.9646027,111.0,219.0,0.0740285,164.0,175.0,192.0,199.0,35.0,0
4474,183.31183,1183.114,191.0,218.0,-0.87851304,3.1117487,0.010211012,4.7673283,34.0,247.0,0.075392164,129.0,163.0,209.0,220.0,91.0,1
3769,141.61607,243.4659,140.0,139.0,0.2805322,2.920169,0.019205788,4.118683,91.0,195.0,0.08355097,122.0,130.0,151.0,162.0,40.0,1
1208,51.11533,815.33856,47.0,23.0,0.45756194,2.2132432,0.014548131,4.4972625,3.0,143.0,0.1341213,19.0,25.0,74.0,91.0,72.0,0
5927,65.22793,903.13116,64.0,25.0,0.093876526,1.6465203,0.01728552,4.425132,21.0,137.0,0.12264685,26.0,37.0,92.0,105.0,79.0,0
4478,110.6931,1086.0326,112.0,114.0,-0.18021385,2.3245864,0.00907753,4.8482156,23.0,195.0,0.09560673,63.0,87.0,135.0,153.0,90.0,0
6108,38.30585,1072.1138,27.0,4.0,0.88744974,2.9746623,0.056426138,4.060041,3.0,172.0,0.13564906,4.0,9.0,59.0,91.0,87.0,0
5435,124.60443,183.50221,123.0,114.0,0.29658177,3.4163835,0.02408768,3.95884,72.0,182.0,0.089005955,108.0,115.0,132.0,143.0,35.0,0
2264,132.34705,253.05495,130.0,114.0,0.33627823,2.774862,0.019068519,4.123335,86.0,219.0,0.08615043,112.0,120.0,143.0,154.0,42.0,0
4563,122.73966,319.37216,121.0,112.0,0.2017501,2.8847313,0.017436072,4.2503614,69.0,189.0,0.08962058,100.0,110.0,134.0,146.0,46.0,1
256,132.72711,679.1429,129.0,114.0,0.2875749,2.4678082,0.011838938,4.605269,67.0,210.0,0.0855727,101.0,114.0,150.0,171.0,70.0,1
996,96.76851,853.3035,99.0,114.0,-0.19627568,2.3847675,0.010475582,4.7222257,23.0,181.0,0.1028214,53.0,76.0,118.0,132.0,79.0,0
5334,123.58564,448.4855,122.0,114.0,0.036046334,2.5152185,0.014072524,4.425776,61.0,185.0,0.08937415,96.0,108.0,138.0,152.0,56.0,1
1936,44.22217,503.4259,38.0,23.0,0.6899878,2.5973685,0.019291861,4.236837,10.0,132.0,0.13939646,20.0,24.0,61.0,77.0,57.0,0
5674,35.925346,860.7616,29.0,4.0,1.1424274,4.5561414,0.053626467,4.0229235,3.0,177.0,0.14989875,4.0,9.0,52.0,75.0,71.0,1
919,151.29372,221.40973,149.0,146.0,0.30883154,2.8570268,0.020467028,4.0611057,108.0,202.0,0.08068118,133.0,140.0,160.0,172.0,39.0,0
3319,88.72312,55.877876,88.0,90.0,0.22980595,3.4926567,0.042030003,3.3963637,66.0,157.0,0.105731525,79.0,83.0,93.0,98.0,19.0,0
