,har_feat0,har_feat1,har_feat2,har_feat3,har_feat4,har_feat5,har_feat6,har_feat7,har_feat8,har_feat9,har_feat10,har_feat11,har_feat12,har_feat13,R-mean,G-mean,B-mean,R-std,G-std,B-std,Label
4346,0.0030945847,4.887501,0.9948904,478.5573,0.46109375,367.9747,1909.3418,7.201538,9.222094,0.0012203366,2.2196527,-0.5324784,0.998992,2.8679276,183.94347,183.94347,183.94347,21.913172,21.913172,21.913172,1
2046,0.004258183,3.715026,0.9962166,491.28076,0.53925693,121.907,1961.4081,7.081767,8.549509,0.0025368414,2.0875785,-0.5871392,0.9993779,2.6006634,60.929028,60.929028,60.929028,22.204618,22.204618,22.204618,0
995,0.0061316676,3.251292,0.993568,252.98872,0.534396,198.68645,1008.7036,6.733957,8.250187,0.002078046,1.9970878,-0.5592202,0.9987376,2.4417267,99.32068,99.32068,99.32068,15.942082,15.942082,15.942082,0
4325,0.002805051,3.461586,0.99818575,954.63916,0.51947546,197.91399,3815.095,7.623599,9.178169,0.0019502292,2.0430665,-0.6111235,0.99976516,2.4615114,98.87802,98.87802,98.87802,30.963535,30.963535,30.963535,0
2467,0.005831799,3.3586092,0.98608196,120.735245,0.5038113,163.17671,479.58237,6.395926,8.196025,0.0024815598,2.0076559,-0.50445133,0.9969699,2.5703738,81.55869,81.55869,81.55869,11.009176,11.009176,11.009176,0
3727,0.0035255675,2.67203,0.99740463,515.27045,0.5568299,141.51561,2058.4097,7.290613,8.851578,0.002176422,1.851744,-0.61082816,0.99969465,2.6586254,70.771935,70.771935,70.771935,22.771019,22.771019,22.771019,0
3094,0.0045854934,6.347356,0.97835416,146.64845,0.43437523,227.45148,580.24646,6.5087605,8.664727,0.0011921661,2.3368263,-0.4514077,0.99458784,2.8032198,113.697586,113.697586,113.697586,12.114931,12.114931,12.114931,1
1439,0.0044618603,2.2495043,0.9973843,430.3118,0.5689853,181.4398,1718.9977,7.03412,8.541065,0.0025323187,1.7941505,-0.6039674,0.9995528,2.3502014,90.69965,90.69965,90.69965,20.794628,20.794628,20.794628,0
4874,0.00301973,4.058534,0.99516374,419.55566,0.4774756,224.8518,1674.1641,7.1867714,9.105845,0.0017103597,2.1129396,-0.5478498,0.9991875,2.6865122,112.42123,112.42123,112.42123,20.476486,20.476486,20.476486,0
1451,0.004335593,2.4472764,0.995884,297.63025,0.57491523,117.57433,1188.0737,6.979838,8.4594755,0.0022876184,1.7736076,-0.6045192,0.99952906,2.5196514,58.80335,58.80335,58.80335,17.316227,17.316227,17.316227,0
3898,0.005337196,5.1228943,0.9804483,131.02849,0.45726883,283.21085,518.991,6.373786,8.422237,0.0014159655,2.2306356,-0.4581615,0.99461466,2.757292,141.58994,141.58994,141.58994,11.452161,11.452161,11.452161,1
3281,0.002054077,7.597959,0.9979916,1892.4355,0.54487664,132.53276,7562.144,8.045297,9.693506,0.0018343147,1.9876184,-0.641203,0.99992114,2.7394757,66.310905,66.310905,66.310905,43.571964,43.571964,43.571964,0
3733,0.0073073385,2.2510684,0.99587613,273.0701,0.603003,56.462307,1090.0293,6.5579853,7.9106092,0.004827179,1.6488622,-0.60911983,0.99933106,2.3649642,28.246887,28.246887,28.246887,16.554161,16.554161,16.554161,0
1998,0.0050870297,3.2022345,0.9915648,189.90073,0.51435256,346.1904,756.4007,6.6507754,8.403485,0.0015343581,1.9812019,-0.53439116,0.9983306,2.6385553,173.09828,173.09828,173.09828,13.798251,13.798251,13.798251,0
2470,0.0032681748,8.924469,0.9924772,593.0606,0.43806505,169.61348,2363.3179,7.175434,9.36792,0.0014099911,2.4150245,-0.5041167,0.99850446,2.9831188,84.751335,84.751335,84.751335,24.341936,24.341936,24.341936,4
370,0.003030521,4.3260026,0.9933979,327.695,0.4709105,208.0009,1306.454,7.0976048,9.0576935,0.0018351261,2.1511338,-0.53423667,0.9989249,2.7057207,103.97576,103.97576,103.97576,18.116735,18.116735,18.116735,2
1127,0.0028558613,4.767512,0.99487627,465.15036,0.46242622,193.59721,1855.834,7.2093983,9.216725,0.0017675486,2.1942246,-0.53529876,0.9990245,2.706054,96.73744,96.73744,96.73744,21.552944,21.552944,21.552944,2
3134,0.0056910594,4.344696,0.98426986,138.1369,0.47803035,196.716,548.2029,6.383072,8.319829,0.0017739293,2.153552,-0.4789125,0.9958359,2.876567,98.345894,98.345894,98.345894,11.763018,11.763018,11.763018,0
282,0.0019706294,4.2131715,0.9990131,2135.7952,0.50251657,234.30943,8538.968,8.071879,9.881943,0.0016324818,2.0811982,-0.61968184,0.9998911,2.7865613,116.98294,116.98294,116.98294,46.29139,46.29139,46.29139,4
2488,0.0019969617,4.030143,0.9982775,1170.5096,0.5033062,183.23434,4678.009,7.8855987,9.702192,0.0015087909,2.0839405,-0.60753685,0.9998373,2.7419858,91.56783,91.56783,91.56783,34.27095,34.27095,34.27095,0
3389,0.002564406,6.9686804,0.99684775,1105.7981,0.46478528,179.84149,4416.2236,7.6091785,9.411019,0.0011335228,2.39684,-0.5666403,0.9995377,2.77332,89.87418,89.87418,89.87418,33.29361,33.29361,33.29361,0
337,0.0018618098,5.373806,0.9988595,2358.2615,0.46377677,292.1831,9427.672,8.11837,10.127612,0.0012771827,2.2746909,-0.59424657,0.999845,2.9539518,145.96909,145.96909,145.96909,48.675022,48.675022,48.675022,4
4197,0.008867073,1.7043755,0.9990938,940.74286,0.6695065,81.21789,3761.267,7.2535853,8.230136,0.0034771878,1.6539742,-0.6992468,0.99989974,2.3028195,40.606426,40.606426,40.606426,30.698612,30.698612,30.698612,0
4782,0.010714018,3.4130235,0.9795385,83.52407,0.52020955,181.86272,330.68326,5.8293085,7.3968053,0.0019291281,2.0197577,-0.46886206,0.9917548,2.5720792,90.94975,90.94975,90.94975,9.177139,9.177139,9.177139,0
4332,0.002332613,5.1012826,0.99678624,793.98773,0.45427075,313.3699,3170.8496,7.5241566,9.571064,0.0012555718,2.2315338,-0.5513281,0.99943894,2.7648747,156.64249,156.64249,156.64249,28.21574,28.21574,28.21574,4
4347,0.010020624,2.5412066,0.9750433,50.906105,0.54731333,268.80185,201.0832,5.7588787,7.3600373,0.001987947,1.8453785,-0.4815887,0.9929636,2.4154665,134.38918,134.38918,134.38918,7.1324162,7.1324162,7.1324162,2
2910,0.0055196215,3.1536427,0.9895387,150.73857,0.51937795,292.9325,599.80066,6.5266433,8.272991,0.0017465448,1.9686254,-0.5253843,0.99791616,2.5189505,146.46672,146.46672,146.46672,12.279852,12.279852,12.279852,1
2789,0.010592258,3.4575467,0.94824415,33.412132,0.4993523,204.73726,130.191,5.448465,7.27031,0.00236493,2.0229378,-0.4019744,0.9801238,2.547347,102.37732,102.37732,102.37732,5.7871137,5.7871137,5.7871137,0
4883,0.003589322,2.9661226,0.99715334,521.28687,0.53035724,182.8541,2082.1814,7.246483,8.93215,0.002145434,1.9371281,-0.5889409,0.99956596,2.564387,91.399574,91.399574,91.399574,22.871656,22.871656,22.871656,0
1028,0.0080133695,2.4199414,0.98488563,80.11464,0.5540212,330.17007,318.0386,6.1033034,7.680254,0.0017400596,1.818949,-0.5196531,0.9966003,2.3459637,165.06723,165.06723,165.06723,8.969701,8.969701,8.969701,3
133,0.0034355503,3.861903,0.99330896,288.62036,0.48891577,235.04817,1150.6196,7.0117526,8.889138,0.0017379557,2.0819235,-0.5413956,0.99892676,2.6576586,117.4788,117.4788,117.4788,16.993206,16.993206,16.993206,1
1133,0.0043696202,2.0959291,0.9976098,438.5502,0.5859215,383.87592,1752.105,7.096564,8.527429,0.0015684454,1.7579049,-0.6197435,0.99966025,2.4216337,191.88953,191.88953,191.88953,20.959423,20.959423,20.959423,4
585,0.0026824742,3.6398761,0.99762154,765.43384,0.4990136,203.39049,3058.0955,7.4404893,9.272225,0.0017469408,2.042967,-0.5789375,0.9995879,2.5515234,101.70334,101.70334,101.70334,27.684134,27.684134,27.684134,3
3609,0.0039509586,2.2678523,0.99762416,477.5379,0.5777394,141.53369,1907.8838,7.232448,8.7033615,0.0025401472,1.7809618,-0.62199265,0.9997229,2.5556426,70.762764,70.762764,70.762764,21.889584,21.889584,21.889584,0
4847,0.011433383,4.2851663,0.939653,35.515038,0.4823947,250.20969,137.77498,5.437085,7.1969414,0.0018237629,2.1568654,-0.38426322,0.97429293,2.563759,125.11212,125.11212,125.11212,5.967676,5.967676,5.967676,0
2550,0.004609548,3.491979,0.9982342,989.4264,0.52271235,155.10406,3954.2134,7.2578435,8.807526,0.0017995395,2.0405242,-0.5896397,0.9995233,2.5710907,77.5905,77.5905,77.5905,31.522707,31.522707,31.522707,0
2922,0.0040819612,4.034739,0.9925886,272.3637,0.47816604,274.6483,1085.42,6.7502003,8.670869,0.0016309645,2.1135445,-0.5149463,0.99809504,2.6655912,137.31982,137.31982,137.31982,16.53689,16.53689,16.53689,0
1669,0.004093543,3.4154556,0.99481064,329.35266,0.515544,280.25705,1313.9952,6.9949493,8.565759,0.0016814169,2.0343606,-0.56687176,0.9991382,2.396344,140.0682,140.0682,140.0682,18.194475,18.194475,18.194475,0
111,0.0029765659,2.1976032,0.99850035,733.21124,0.57028043,224.36992,2930.6475,7.5800624,9.085505,0.0021478492,1.7727158,-0.6359109,0.9998454,2.3037612,112.10079,112.10079,112.10079,27.13357,27.13357,27.13357,2
1950,0.010782779,1.4460753,0.99942243,1252.5006,0.68429977,92.658104,5008.5566,7.321369,8.24908,0.003081899,1.575526,-0.7138526,0.9999268,2.217107,46.33683,46.33683,46.33683,35.434944,35.434944,35.434944,0
160,0.006950873,2.9302955,0.98837215,125.96761,0.52526456,262.4335,500.94016,6.2701583,7.971546,0.001862526,1.9284533,-0.51181287,0.9968432,2.5427542,131.193,131.193,131.193,11.213794,11.213794,11.213794,2
3137,0.018032,2.6094134,0.9377129,20.963041,0.5577331,197.12077,81.24275,5.070576,6.497688,0.0025986708,1.8824943,-0.41331166,0.9748647,2.3767834,98.56855,98.56855,98.56855,4.5895724,4.5895724,4.5895724,0
236,0.005627401,2.4708936,0.99277645,171.10938,0.5777766,176.71027,681.9666,6.5622234,8.039224,0.0020820755,1.7733382,-0.5757927,0.9988744,2.440653,88.35572,88.35572,88.35572,13.097192,13.097192,13.097192,3
