,har_feat0,har_feat1,har_feat2,har_feat3,har_feat4,har_feat5,har_feat6,har_feat7,har_feat8,har_feat9,har_feat10,har_feat11,har_feat12,har_feat13,R-mean,G-mean,B-mean,R-std,G-std,B-std,Label
3293,0.01522647,5.889671,0.99106276,329.69162,0.5373885,69.02305,1312.8768,6.4126086,7.959276,0.0029164206,2.2626405,-0.5701499,0.99877393,2.7445273,34.50854,34.553036,34.521202,18.19122,18.206736,18.17825,0
1782,0.0016884382,25.969404,0.9774003,574.82117,0.29997626,219.97481,2273.3152,7.518074,10.506512,0.0008650613,3.2357512,-0.4042354,0.99519324,3.717828,109.94644,109.97649,109.96835,23.98428,24.009068,24.015652,0
113,0.0014340768,25.660194,0.98870736,1137.4723,0.29940188,277.25162,4524.229,7.8732486,10.850362,0.00073919917,3.2492907,-0.43562415,0.9977427,3.7880666,138.4803,138.53308,138.5205,33.84731,33.84628,33.84967,1
5300,0.0014062804,20.756874,0.98836213,891.99225,0.3220279,221.08246,3547.2122,7.763603,10.612403,0.0009193611,3.1117811,-0.44589046,0.99790597,3.6563585,110.47087,110.4996,110.485306,29.867994,29.889515,29.898647,0
3098,0.0015416007,31.894106,0.9752909,646.3944,0.28344828,260.1904,2553.6836,7.56455,10.672581,0.0007853449,3.3672955,-0.3907122,0.99448556,3.8612704,129.98996,130.03711,130.03027,25.520401,25.534552,25.535158,0
4678,0.004399918,9.078865,0.9818128,249.8999,0.4306599,109.986786,990.52075,6.752168,8.945729,0.0017368463,2.5921962,-0.46659338,0.99656844,3.0753973,54.968063,55.037952,54.977818,15.904897,15.851347,15.884761,0
3074,0.13816237,5.31264,0.7387142,10.167745,0.58598745,20.681559,35.358337,3.0622122,3.9594345,0.01604373,1.6720937,-0.6217063,0.98350096,1.6268482,10.100961,10.669635,10.071398,3.3213694,2.9811504,3.353138,0
4474,0.008392966,25.046766,0.9879707,1041.5891,0.49110273,80.402374,4141.3096,6.684175,8.64664,0.0010523418,2.605282,-0.51391315,0.99809945,3.665133,40.217167,40.271774,40.240623,32.326775,32.331425,32.31888,0
3769,0.0038658394,22.052036,0.943651,195.78418,0.33713853,338.32092,761.0847,6.6944146,9.337899,0.0008688153,3.0462365,-0.3844423,0.9889696,3.0716672,169.1098,169.15698,169.12039,14.034916,14.020327,14.0156555,0
1208,0.0022157987,26.863573,0.9836347,821.39716,0.2994112,221.84439,3258.725,7.3609033,10.293162,0.00085375976,3.2309277,-0.4047284,0.99484473,3.793302,110.94658,110.966354,110.9563,28.719667,28.738226,28.742933,0
