,LTE_LL_5,LTE_EE_5,LTE_SS_5,LTE_LE_5,LTE_ES_5,LTE_LS_5,Label
3460,2288.6116,57.754314,21.440613,241.90036,34.267536,115.86381,0
6098,5830.2793,27.009108,11.160017,110.68525,16.825867,53.895653,0
550,5008.746,75.733315,24.962662,375.65347,41.136562,150.1184,1
107,12422.199,62.171623,19.614304,341.65796,32.50655,122.290474,1
347,5374.822,74.92291,22.280647,397.04483,38.302776,152.28864,1
4148,4488.1772,63.46587,23.089148,298.08286,36.85566,127.10966,0
4178,4617.753,62.648544,21.232801,283.96957,35.21361,124.017715,0
2701,2770.6003,60.790947,20.183388,260.7912,33.94199,119.51987,0
811,11203.441,29.479696,10.204343,162.88806,16.521639,60.09203,0
4898,7788.603,42.404224,15.7056875,194.45451,24.825626,88.57987,0
6118,1698.7236,39.061794,13.522133,169.9028,22.22147,77.5482,0
1242,5927.062,55.536007,16.761068,315.31766,28.662722,110.09236,1
4763,2476.3018,68.31292,24.500874,269.60547,39.889603,143.48863,0
1609,14344.912,110.2318,19.937347,799.7031,40.42624,171.27278,0
2118,7442.83,39.22458,15.665989,174.86363,24.029211,81.19236,0
6176,7080.4897,54.75039,17.962358,260.06354,30.268618,106.68812,0
2144,8825.354,38.32436,12.879832,176.66348,21.394678,77.5573,0
1764,2579.269,50.532253,14.591903,254.11523,25.823269,99.92997,0
109,7504.5737,40.86394,12.777277,209.74956,21.745106,83.8873,1
3829,4198.749,61.96144,20.380327,287.84644,34.147556,121.137764,0
3756,4380.682,67.37358,24.183481,303.58835,39.09007,134.4875,1
3854,3531.6924,37.100273,17.182596,117.647545,25.05996,74.53519,0
2940,1243.4884,56.17964,20.109863,199.58537,32.93696,106.53998,0
1691,4747.623,65.24575,21.890602,287.69812,36.82235,135.60623,0
4258,7574.5796,44.07306,19.630447,169.9998,29.043306,89.15219,0
5248,2392.6904,51.675316,17.014431,239.84998,28.528278,105.80251,0
2914,3394.5503,57.720905,21.197851,232.75465,34.365623,122.52576,0
816,2710.511,45.934902,15.633516,213.23244,25.741507,87.913574,0
603,4518.8047,65.65174,20.702776,333.02682,35.022423,128.12498,1
2197,3765.8215,62.30065,22.19267,267.4823,36.122272,131.05057,0
154,8806.847,78.64752,24.773886,393.73627,41.339382,152.84587,1
4209,9418.624,76.99215,26.387043,379.34637,42.865253,151.49055,1
3500,6292.3345,47.376705,17.03418,209.44722,27.548876,96.12512,0
1526,4771.994,66.8811,24.744106,277.12125,39.85919,132.24144,0
1908,4941.212,56.50511,19.005775,288.59103,31.200216,111.15168,0
713,7551.364,56.99507,17.782808,275.0061,30.494318,112.73964,1
3812,5829.2153,30.420694,12.367459,125.52176,18.873594,61.68641,0
2577,7355.766,25.067533,9.109773,117.5917,14.5053215,52.392365,0
310,4608.276,66.84475,23.202509,331.13794,37.515472,133.90892,1
5367,5147.832,49.375294,15.628505,269.844,26.370983,98.91703,0
935,4939.625,63.709698,22.442928,310.4074,36.11403,123.49264,0
4087,5324.0454,54.674286,21.050423,226.16655,33.03208,108.78694,0
5700,5153.287,70.91851,23.605455,367.4619,38.719357,169.86855,1
5892,7162.409,33.059647,13.472676,142.36897,20.58427,66.09128,0
4660,6209.5723,66.44163,22.424932,305.8102,37.04198,130.20651,0
3328,7350.8276,24.586529,9.555515,124.7289,14.623549,47.866867,0
